Company Name,Location,Job Title,job_category,python_yn,R_yn,spark,aws,excel,avg_salary
"pharmavite
2.9","valencia, ca",associate scientist,Data Scientist,0.0,0.0,0.0,0.0,1.0,169520.0
"23andme
4.0","south san francisco, ca","associate scientist / sr. associate scientist, antibody discovery",Data Scientist,0.0,0.0,0.0,1.0,1.0,191360.0
"q2 solutions
2.9","ithaca, ny","associate scientist, lc/ms biologics",Data Scientist,0.0,0.0,0.0,0.0,1.0,145600.0
"q2 solutions
2.9","ithaca, ny","associate scientist, lc/ms biologics",Data Scientist,0.0,0.0,0.0,0.0,1.0,145600.0
"q2 solutions
2.9","ithaca, ny","associate scientist, lc/ms biologics",Data Scientist,0.0,0.0,0.0,0.0,1.0,145600.0
"genentech
3.9","south san francisco, ca","associate scientist/scientist, process analytical technology - small molecule analytical chemistry",Data Scientist,0.0,0.0,0.0,0.0,1.0,260000.0
"santander
3.1","boston, ma","associate, data science, internal audit",Data Scientist,1.0,0.0,0.0,0.0,1.0,130000.0
"santander
3.1","boston, ma","associate, data science, internal audit",Data Scientist,1.0,0.0,0.0,0.0,1.0,130000.0
"church & dwight
3.4","ewing, nj",bi & platform analytics manager,Data Scientist,1.0,0.0,0.0,0.0,1.0,227760.0
"church & dwight
3.4","ewing, nj",bi & platform analytics manager,Data Scientist,1.0,0.0,0.0,0.0,1.0,227760.0
first media,"los angeles, ca",bi developer & data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
first media,"los angeles, ca",bi developer & data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"peraton
3.3","chantilly, va",big data engineer,Data Engineer,1.0,0.0,1.0,0.0,0.0,246480.0
"springml
4.4","indianapolis, in",big data engineer,Data Engineer,1.0,0.0,1.0,0.0,0.0,188240.0
"centro
4.1","chicago, il",big data engineer - chicago - future opportunity,Data Engineer,1.0,0.0,1.0,1.0,0.0,208000.0
brambles limited,"alpharetta, ga",bilingual data analyst & reporting,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"fareportal
3.8","new york, ny",business data analyst,Data Analyst,1.0,0.0,0.0,0.0,1.0,111280.0
"fareportal
3.8","new york, ny",business data analyst,Data Analyst,1.0,0.0,0.0,0.0,1.0,111280.0
by employers,"carson, ca",business data analyst - 35m human intelligence collector,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
deutsche post dhl group,"mcdonough, ga",business data analyst ii,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
truist,"atlanta, ga",business data analyst iii- risk and finance data analytics,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"fareportal
3.8","new york, ny","business data analyst, sql",Data Analyst,0.0,0.0,0.0,0.0,1.0,135200.0
"dayton freight lines, inc.
4.3","dayton, oh",business intelligence analyst / developer,Data Scientist,0.0,0.0,0.0,0.0,0.0,164320.0
sage,"atlanta, ga",business intelligence data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
panda restaurant group,"rosemead, ca",business system & data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,87000.0
panda restaurant group,"rosemead, ca",business system & data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,87000.0
clifyx,"irvine, ca",business system analyst / data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
clifyx,"irvine, ca",business system analyst / data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
kbr,"warner robins, ga",c-5m maintenance data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
kbr,"warner robins, ga",c-5m maintenance data analyst jobs,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
professional diversity network,"atlanta, ga",climate & sustainability data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"greenway health
3.0","tampa, fl",clinical data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,78000.0
"greenway health
3.0","tampa, fl",clinical data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,78000.0
"mantech
4.1","portsmouth, va",clinical data analyst,Data Analyst,0.0,0.0,0.0,0.0,0.0,146640.0
providence,"anaheim, ca",clinical data analyst - quality revenue enhancement,Data Analyst,0.0,0.0,0.0,0.0,1.0,97760.0
providence,"anaheim, ca",clinical data analyst - quality revenue enhancement,Data Analyst,0.0,0.0,0.0,0.0,1.0,97760.0
kpc health care inc,"anaheim, ca","clinical data analyst, ft days",Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
kpc health care inc,"anaheim, ca","clinical data analyst, ft days",Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"pfizer
4.0","groton, ct",clinical data scientist,Data Scientist,0.0,0.0,0.0,1.0,1.0,174720.0
