Company Name,Location,Job Title,job_category,avg_salary_x,avg_salary_y,python_yn,R_yn,spark,aws,excel
disability solutions,"glendale, ca",advanced data analyst,Data Analyst,,,,,,,
disability solutions,"glendale, ca",advanced data analyst,Data Analyst,,,,,,,
belmont university,"nashville, tn",advancement services - temporary data analyst,Data Analyst,,,,,,,
belmont university,"nashville, tn",advancement services – temporary data analyst,Data Analyst,,,,,,,
"beck's hybrids
4.6","atlanta, in",ag data scientist,Data Scientist,,80.5,0.0,0.0,0.0,0.0,0.0
alten,"jackson, ms",alten is hiring: data analyst - data governance analyst - ms - msdh in jackson,Data Analyst,,,,,,,
applied analysis,"las vegas, nv",analyst (data visualization and reporting),Data Scientist,,,,,,,
applied analysis,"las vegas, nv",analyst (data visualization and reporting),Data Scientist,,,,,,,
carmax,"kennesaw, ga","analyst ii, caf data and business intelligence reporting",Data Scientist,,,,,,,
federation caisses desjardins,"levis, ca","analyst, data valorization",Data Scientist,,,,,,,
greensky,"atlanta, ga","analyst/sr. analyst, collections strategy & analytics",Data Scientist,,,,,,,
"greatamerica financial services
4.6","cedar rapids, ia",analytics - business assurance data analyst,Data Analyst,,43.0,0.0,0.0,0.0,0.0,1.0
"greatamerica financial services
4.6","cedar rapids, ia",analytics - business assurance data analyst,Data Analyst,,43.0,0.0,0.0,0.0,0.0,1.0
"springml
4.4","indianapolis, in",analytics consultant,Data Scientist ,,66.5,1.0,0.0,0.0,0.0,0.0
"onemagnify
4.3","dearborn, mi",analytics manager,Data Scientist ,,87.5,0.0,0.0,0.0,0.0,1.0
"onemagnify
4.3","dearborn, mi",analytics manager,Data Scientist ,,87.5,0.0,0.0,0.0,0.0,1.0
"central california alliance for health
3.5","scotts valley, ca",analytics manager - data mart,Data Scientist ,,64.0,0.0,0.0,0.0,0.0,0.0
"central california alliance for health
3.5","scotts valley, ca",analytics manager - data mart,Data Scientist ,,64.0,0.0,0.0,0.0,0.0,0.0
"central california alliance for health
3.5","scotts valley, ca",analytics manager - data mart,Data Scientist ,,64.0,0.0,0.0,0.0,0.0,0.0
"central california alliance for health
3.5","scotts valley, ca",analytics manager - data mart,Data Scientist ,,64.0,0.0,0.0,0.0,0.0,0.0
tiktok,"los angeles, ca",artist engagement data analyst - usds,Data Analyst,,,,,,,
tiktok,"los angeles, ca",artist engagement data analyst - usds,Data Analyst,,,,,,,
"liberty mutual insurance
3.3","boston, ma","assistant director/director, office of data science",Data Scientist ,,53.0,0.0,0.0,0.0,0.0,0.0
"intrado
3.1","longmont, co",associate data analyst,Data Analyst,,29.5,0.0,0.0,0.0,0.0,1.0
"the hanover insurance group
3.7","worcester, ma",associate data analyst,Data Analyst,,47.5,0.0,0.0,0.0,0.0,1.0
"national interstate
3.3","richfield, oh",associate data analyst- graduate development program,Data Analyst,,45.5,0.0,0.0,0.0,0.0,0.0
"national interstate
3.3","richfield, oh",associate data analyst- graduate development program,Data Analyst,,45.5,0.0,0.0,0.0,0.0,0.0
"national interstate
3.3","richfield, oh",associate data analyst- graduate development program,Data Analyst,,45.5,0.0,0.0,0.0,0.0,0.0
"eab
3.5","washington, dc",associate data engineer,Data Engineer,,65.5,0.0,0.0,1.0,1.0,1.0
"eab
3.5","washington, dc",associate data engineer,Data Engineer,,65.5,0.0,0.0,1.0,1.0,1.0
"mitre
3.2","mclean, va",associate data scientist/computer scientist,Data Scientist,,81.5,1.0,0.0,1.0,0.0,0.0
"takeda pharmaceuticals
3.7","cambridge, ma","associate director, platform and devops- data engineering and aritifical intelligence",Data Engineer,,154.5,0.0,0.0,1.0,1.0,1.0
"takeda pharmaceuticals
3.7","cambridge, ma","associate director, platform and devops- data engineering and aritifical intelligence",Data Engineer,,154.5,0.0,0.0,1.0,1.0,1.0
"takeda pharmaceuticals
3.7","cambridge, ma","associate director, platform and devops- data engineering and aritifical intelligence",Data Engineer,,154.5,0.0,0.0,1.0,1.0,1.0
"acceleron pharma
4.4","cambridge, ma","associate director/director, safety scientist",Data Scientist ,,140.0,0.0,0.0,0.0,0.0,1.0
"acceleron pharma
4.4","cambridge, ma","associate director/director, safety scientist",Data Scientist ,,140.0,0.0,0.0,0.0,0.0,1.0
"qk
4.7","clovis, ca",associate environmental scientist - wildlife biologist,Data Scientist ,,51.0,0.0,0.0,0.0,0.0,1.0
"qk
4.7","clovis, ca",associate environmental scientist - wildlife biologist,Data Scientist ,,51.0,0.0,0.0,0.0,0.0,1.0
"fareportal
3.8","new york, ny",associate machine learning engineer / data scientist may 2020 undergrad,Data Scientist,,74.5,1.0,0.0,1.0,0.0,0.0
"fareportal
3.8","new york, ny",associate machine learning engineer / data scientist may 2020 undergrad,Data Scientist,,74.5,1.0,0.0,1.0,0.0,0.0
"astrazeneca
3.9","gaithersburg, md","associate principal scientist, pharmacogenomics",Data Scientist ,,95.0,0.0,0.0,0.0,0.0,0.0
"astrazeneca
3.9","gaithersburg, md","associate principal scientist, pharmacogenomics",Data Scientist ,,95.0,0.0,0.0,0.0,0.0,0.0
"exelixis
3.0","alameda, ca",associate research scientist i (protein expression and production),Data Scientist ,,87.5,0.0,0.0,0.0,0.0,1.0
"pharmavite
2.9","valencia, ca",associate scientist,Data Scientist ,,81.5,0.0,0.0,0.0,0.0,1.0
"23andme
4.0","south san francisco, ca","associate scientist / sr. associate scientist, antibody discovery",Data Scientist ,,92.0,0.0,0.0,0.0,1.0,1.0
"q2 solutions
2.9","ithaca, ny","associate scientist, lc/ms biologics",Data Scientist ,,70.0,0.0,0.0,0.0,0.0,1.0
"q2 solutions
2.9","ithaca, ny","associate scientist, lc/ms biologics",Data Scientist ,,70.0,0.0,0.0,0.0,0.0,1.0
"q2 solutions
2.9","ithaca, ny","associate scientist, lc/ms biologics",Data Scientist ,,70.0,0.0,0.0,0.0,0.0,1.0
"genentech
3.9","south san francisco, ca","associate scientist/scientist, process analytical technology - small molecule analytical chemistry",Data Scientist ,,125.0,0.0,0.0,0.0,0.0,1.0
"santander
3.1","boston, ma","associate, data science, internal audit",Data Scientist ,,62.5,1.0,0.0,0.0,0.0,1.0
"santander
3.1","boston, ma","associate, data science, internal audit",Data Scientist ,,62.5,1.0,0.0,0.0,0.0,1.0
"church & dwight
3.4","ewing, nj",bi & platform analytics manager,Data Scientist ,,109.5,1.0,0.0,0.0,0.0,1.0
"church & dwight
3.4","ewing, nj",bi & platform analytics manager,Data Scientist ,,109.5,1.0,0.0,0.0,0.0,1.0
first media,"los angeles, ca",bi developer & data analyst,Data Analyst,,,,,,,
first media,"los angeles, ca",bi developer & data analyst,Data Analyst,,,,,,,
"peraton
3.3","chantilly, va",big data engineer,Data Engineer,,118.5,1.0,0.0,1.0,0.0,0.0
"springml
4.4","indianapolis, in",big data engineer,Data Engineer,,90.5,1.0,0.0,1.0,0.0,0.0
"centro
4.1","chicago, il",big data engineer - chicago - future opportunity,Data Engineer,,100.0,1.0,0.0,1.0,1.0,0.0
brambles limited,"alpharetta, ga",bilingual data analyst & reporting,Data Analyst,,,,,,,
"fareportal
3.8","new york, ny",business data analyst,Data Analyst,,53.5,1.0,0.0,0.0,0.0,1.0
"fareportal
3.8","new york, ny",business data analyst,Data Analyst,,53.5,1.0,0.0,0.0,0.0,1.0
by employers,"carson, ca",business data analyst - 35m human intelligence collector,Data Analyst,,,,,,,
deutsche post dhl group,"mcdonough, ga",business data analyst ii,Data Analyst,,,,,,,
truist,"atlanta, ga",business data analyst iii- risk and finance data analytics,Data Analyst,,,,,,,
"fareportal
3.8","new york, ny","business data analyst, sql",Data Analyst,,65.0,0.0,0.0,0.0,0.0,1.0
"dayton freight lines, inc.
4.3","dayton, oh",business intelligence analyst / developer,Data Scientist ,,79.0,0.0,0.0,0.0,0.0,0.0
sage,"atlanta, ga",business intelligence data analyst,Data Analyst,,,,,,,
panda restaurant group,"rosemead, ca",business system & data analyst,Data Analyst,87000.0,,,,,,
panda restaurant group,"rosemead, ca",business system & data analyst,Data Analyst,87000.0,,,,,,
clifyx,"irvine, ca",business system analyst / data analyst,Data Analyst,,,,,,,
clifyx,"irvine, ca",business system analyst / data analyst,Data Analyst,,,,,,,
kbr,"warner robins, ga",c-5m maintenance data analyst,Data Analyst,,,,,,,
kbr,"warner robins, ga",c-5m maintenance data analyst jobs,Data Analyst,,,,,,,
professional diversity network,"atlanta, ga",climate & sustainability data analyst,Data Analyst,,,,,,,
"greenway health
3.0","tampa, fl",clinical data analyst,Data Analyst,,37.5,0.0,0.0,0.0,0.0,1.0
"greenway health
3.0","tampa, fl",clinical data analyst,Data Analyst,,37.5,0.0,0.0,0.0,0.0,1.0
"mantech
4.1","portsmouth, va",clinical data analyst,Data Analyst,,70.5,0.0,0.0,0.0,0.0,0.0
