Job Title,Company Name,Location,avg_salary,python_yn,R_yn,spark,aws,excel,job_category
Data Scientist/ML Engineer,"PA Consulting
3.4","New York, NY",97.0,1,0,1,0,1,Data Scientist
Data Scientist,"ManTech
4.1","Chantilly, VA",85.0,0,0,0,0,0,Data Scientist
Customer Data Scientist,"h2o.ai
4.3","Mountain View, CA",153.5,1,0,1,1,1,Data Scientist
Data Engineer,"Gridiron IT
5.0","Tampa, FL",132.5,0,0,0,0,0,Data Engineer
Data Engineer,"Productive Edge
4.3","Chicago, IL",100.0,0,0,1,0,1,Data Engineer
Sr. Data Scientist,"Evolve Vacation Rental
3.7","Denver, CO",105.0,1,0,0,0,0,Data Scientist
Data Engineer 4 - Contract,"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT",87.0,0,0,0,1,1,Data Engineer
Data Analyst - Asset Management,"Maximus Real Estate Partners
4.3","San Francisco, CA",103.5,0,0,0,0,1,Data Analyst
Data Scientist - Bioinformatics,"PNNL
3.8","Richland, WA",67.0,1,0,0,0,0,Data Scientist
Data Engineer,"AVANADE
3.9","Washington, DC",87.0,0,0,0,0,0,Data Engineer
Customer Data Scientist/Sales Engineer,"h2o.ai
4.3","Chicago, IL",137.5,1,0,1,1,1,Data Scientist
Lead Data Scientist,"PatientPoint
3.8","Cincinnati, OH",100.0,1,0,0,0,1,Data Scientist
MongoDB Data Engineer II,"BlueCross BlueShield of Tennessee
3.8","Chattanooga, TN",106.5,0,0,0,0,1,Data Engineer
Senior Data Scientist Statistics,"PNNL
3.8","Richland, WA",98.5,0,0,0,0,0,Data Scientist
Senior Data Analyst,"KnowBe4
4.8","Clearwater, FL",61.0,1,0,0,0,1,Data Analyst
Data Engineer,"Cogo Labs
3.9","Cambridge, MA",84.5,1,0,1,0,0,Data Engineer
Lead Data Scientist,"MassMutual
3.6","Boston, MA",164.0,1,0,1,1,0,Data Scientist
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)","Genentech
3.9","South San Francisco, CA",169.0,1,0,1,0,1,Data Scientist
Senior Data Scientist,"Juniper Networks
3.8","Cupertino, CA",142.0,1,0,1,1,1,Data Scientist
"Data Scientist (Actuary, FSA or ASA)","Legal & General America
3.8","Frederick, MD",107.0,1,0,0,0,1,Data Scientist
Staff Data Scientist,"Western Digital
3.5","San Jose, CA",171.5,1,0,0,1,0,Data Scientist
Senior Data Scientist / Machine Learning,"Health IQ
3.9","Dallas, TX",96.0,0,0,0,0,1,Data Scientist
Data Scientist - Health Data Analytics,"Nuna
4.2","San Francisco, CA",142.5,0,0,0,0,0,Data Scientist
Data Engineer 5 - Contract (Remote),"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT",107.0,0,0,0,0,1,Data Engineer
Senior Data Analyst,"National Student Clearinghouse
2.9","Herndon, VA",61.5,1,0,0,0,1,Data Analyst
"Risk and Analytics IT, Data Scientist","State of Wisconsin Investment Board
2.7","Madison, WI",120.0,1,0,0,0,0,Data Scientist
Senior Data Scientist,"Autodesk
4.0","San Francisco, CA",150.5,1,0,1,0,0,Data Scientist
Data Engineer,"IZEA
4.2","Winter Park, FL",71.5,1,0,1,1,1,Data Engineer
Digital Marketing & ECommerce Data Analyst,"Vionic Group
3.6","San Rafael, CA",51.5,0,0,0,0,1,Data Analyst
Senior Data Analyst,"Dodge Data & Analytics
2.8","Hamilton, NJ",77.5,1,0,0,0,1,Data Analyst
Senior Data Scientist,"Plymouth Rock Assurance
3.3","Woodbridge, NJ",98.5,0,0,0,0,1,Data Scientist
Principal Data Scientist with over 10 years experience,CA-One Tech Cloud,"San Francisco, CA",225.0,1,0,0,1,1,Data Scientist
Sr. Data Scientist II,"Argo Group US
3.4","New York, NY",147.0,1,0,1,1,0,Data Scientist
Excel / VBA / SQL Data Analyst,"Associated Electric Cooperative
4.1","Springfield, MO",61.0,0,0,0,0,1,Data Analyst
Senior Data Scientist,"Zest AI
3.9","Burbank, CA",148.0,1,0,0,0,0,Data Scientist
Radar Data Analyst,"DECISIVE ANALYTICS Corporation
4.7","Huntsville, AL",59.0,1,0,0,0,1,Data Analyst
